architecture,architecture_label,sample_size,dataset,noise,n_runs,mae_mean,mae_std,rmse_mean,rmse_std,mape_percent_mean,mape_percent_std,r2_mean,r2_std,violation_rate_percent_mean,violation_rate_percent_std,parameter_count_mean,parameter_count_std,train_seconds_mean,train_seconds_std,ms_per_sample_mean,ms_per_sample_std
MLP_DEPTH_2,MLP-2 hidden layers,150000,internal_test,20dB,1,23.45250511,0,32.24137254,0,1.045044046,0,0.996700898,0,0.237812128,0,148682,0,49.6593378,0,0.011193262,0
MLP_DEPTH_2,MLP-2 hidden layers,150000,internal_test,30dB,1,15.02891445,0,22.3973577,0,0.675803376,0,0.998407929,0,0.079270709,0,148682,0,49.6593378,0,0.011193262,0
MLP_DEPTH_2,MLP-2 hidden layers,150000,internal_test,clean,1,12.61430454,0,19.53255074,0,0.573989097,0,0.99878916,0,0.039635355,0,148682,0,49.6593378,0,0.011193262,0
MLP_DEPTH_2,MLP-2 hidden layers,200000,internal_test,10dB,1,49.84324646,0,64.58253864,0,2.226958796,0,0.986762713,0,1.030519223,0,148682,0,58.707597,0,0.011173817,0
MLP_DEPTH_2,MLP-2 hidden layers,200000,internal_test,20dB,1,23.62926292,0,32.21188965,0,1.05869025,0,0.996706928,0,0.475624257,0,148682,0,58.707597,0,0.011173817,0
MLP_DEPTH_2,MLP-2 hidden layers,200000,internal_test,30dB,1,14.80965137,0,20.98734011,0,0.666432502,0,0.998602076,0,0.158541419,0,148682,0,58.707597,0,0.011173817,0
MLP_DEPTH_2,MLP-2 hidden layers,200000,internal_test,clean,1,11.60078049,0,17.11915032,0,0.527234003,0,0.999069892,0,0.475624257,0,148682,0,58.707597,0,0.011173817,0
MLP_DEPTH_3,MLP-3 hidden layers,20000,internal_test,10dB,1,60.59956741,0,77.81384286,0,2.733291499,0,0.980783138,0,1.426872771,0,214474,0,9.2125472,0,0.011510139,0
MLP_DEPTH_3,MLP-3 hidden layers,20000,internal_test,20dB,1,27.04024696,0,36.20827677,0,1.223349757,0,0.995839127,0,0.475624257,0,214474,0,9.2125472,0,0.011510139,0
MLP_DEPTH_3,MLP-3 hidden layers,20000,internal_test,30dB,1,20.57412338,0,29.64626557,0,0.936163776,0,0.997210613,0,0.237812128,0,214474,0,9.2125472,0,0.011510139,0
MLP_DEPTH_3,MLP-3 hidden layers,20000,internal_test,clean,1,19.6789341,0,28.79535633,0,0.894960854,0,0.997368438,0,0.158541419,0,214474,0,9.2125472,0,0.011510139,0
MLP_DEPTH_3,MLP-3 hidden layers,30000,internal_test,10dB,1,58.50408554,0,74.82957525,0,2.638763748,0,0.982228859,0,1.307966706,0,214474,0,12.5725372,0,0.011473381,0
MLP_DEPTH_3,MLP-3 hidden layers,30000,internal_test,20dB,1,26.22572136,0,35.27545935,0,1.185079478,0,0.996050755,0,0.515259612,0,214474,0,12.5725372,0,0.011473381,0
MLP_DEPTH_3,MLP-3 hidden layers,30000,internal_test,30dB,1,20.15166664,0,28.98301462,0,0.916179363,0,0.997334026,0,0.237812128,0,214474,0,12.5725372,0,0.011473381,0
MLP_DEPTH_3,MLP-3 hidden layers,30000,internal_test,clean,1,19.36381531,0,28.21745113,0,0.879798643,0,0.997473005,0,0.277447483,0,214474,0,12.5725372,0,0.011473381,0
MLP_DEPTH_3,MLP-3 hidden layers,50000,internal_test,10dB,1,54.81906509,0,70.28337939,0,2.463612892,0,0.984322601,0,1.228695997,0,214474,0,18.4131139,0,0.010980166,0
MLP_DEPTH_3,MLP-3 hidden layers,50000,internal_test,20dB,1,24.99197578,0,33.68447777,0,1.124336291,0,0.996398956,0,0.277447483,0,214474,0,18.4131139,0,0.010980166,0
MLP_DEPTH_3,MLP-3 hidden layers,50000,internal_test,30dB,1,18.95350647,0,26.85417184,0,0.859169569,0,0.997711282,0,0.198176774,0,214474,0,18.4131139,0,0.010980166,0
MLP_DEPTH_3,MLP-3 hidden layers,50000,internal_test,clean,1,18.04733658,0,25.84375945,0,0.818289351,0,0.997880272,0,0.198176774,0,214474,0,18.4131139,0,0.010980166,0
MLP_DEPTH_3,MLP-3 hidden layers,75000,internal_test,10dB,1,53.26107788,0,68.517583,0,2.393838577,0,0.985100461,0,0.990883868,0,214474,0,26.7999415,0,0.012014285,0
MLP_DEPTH_3,MLP-3 hidden layers,75000,internal_test,20dB,1,24.85498428,0,33.7428414,0,1.124811266,0,0.996386467,0,0.396353547,0,214474,0,26.7999415,0,0.012014285,0
MLP_DEPTH_3,MLP-3 hidden layers,75000,internal_test,30dB,1,17.40591049,0,24.47439795,0,0.790535752,0,0.998098953,0,0.158541419,0,214474,0,26.7999415,0,0.012014285,0
MLP_DEPTH_3,MLP-3 hidden layers,75000,internal_test,clean,1,16.04725456,0,22.73335747,0,0.726948492,0,0.998359803,0,0.277447483,0,214474,0,26.7999415,0,0.012014285,0
MLP_DEPTH_3,MLP-3 hidden layers,100000,internal_test,10dB,1,52.08493423,0,67.05457782,0,2.333432622,0,0.985729946,0,0.990883868,0,214474,0,35.1145446,0,0.010934982,0
MLP_DEPTH_3,MLP-3 hidden layers,100000,internal_test,20dB,1,24.27440071,0,33.36110212,0,1.087279152,0,0.996467766,0,0.435988902,0,214474,0,35.1145446,0,0.010934982,0
MLP_DEPTH_3,MLP-3 hidden layers,100000,internal_test,30dB,1,15.06719208,0,21.53918364,0,0.682997424,0,0.998527595,0,0.118906064,0,214474,0,35.1145446,0,0.010934982,0
MLP_DEPTH_3,MLP-3 hidden layers,100000,internal_test,clean,1,12.10339355,0,17.78668548,0,0.555963069,0,0.998995942,0,0.317082838,0,214474,0,35.1145446,0,0.010934982,0
MLP_DEPTH_3,MLP-3 hidden layers,150000,internal_test,10dB,1,50.05554581,0,64.82248522,0,2.233977988,0,0.986664168,0,0.832342449,0,214474,0,51.6832375,0,0.011148751,0
MLP_DEPTH_3,MLP-3 hidden layers,150000,internal_test,20dB,1,23.5135231,0,32.33803165,0,1.047452819,0,0.996681087,0,0.158541419,0,214474,0,51.6832375,0,0.011148751,0
MLP_DEPTH_3,MLP-3 hidden layers,150000,internal_test,30dB,1,14.65717602,0,19.90214479,0,0.653553242,0,0.998742904,0,0.039635355,0,214474,0,51.6832375,0,0.011148751,0
MLP_DEPTH_3,MLP-3 hidden layers,150000,internal_test,clean,1,11.6970005,0,15.65894165,0,0.526833348,0,0.999221796,0,0,0,214474,0,51.6832375,0,0.011148751,0
MLP_DEPTH_3,MLP-3 hidden layers,200000,internal_test,10dB,1,49.87048721,0,64.65359543,0,2.235235833,0,0.98673357,0,1.149425287,0,214474,0,70.5331596,0,0.011445073,0
MLP_DEPTH_3,MLP-3 hidden layers,200000,internal_test,20dB,1,23.33066559,0,32.24800896,0,1.041853521,0,0.996699539,0,0.634165676,0,214474,0,70.5331596,0,0.011445073,0
MLP_DEPTH_3,MLP-3 hidden layers,200000,internal_test,30dB,1,14.0036869,0,19.10545637,0,0.621306198,0,0.998841533,0,0.713436385,0,214474,0,70.5331596,0,0.011445073,0
MLP_DEPTH_3,MLP-3 hidden layers,200000,internal_test,clean,1,10.4754591,0,13.92476548,0,0.468027778,0,0.999384618,0,0.673801031,0,214474,0,70.5331596,0,0.011445073,0
MLP_DEPTH_4,MLP-4 hidden layers,20000,internal_test,10dB,1,60.7514534,0,77.88827573,0,2.738901414,0,0.980746356,0,1.268331352,0,280266,0,9.275657,0,0.012204178,0
MLP_DEPTH_4,MLP-4 hidden layers,20000,internal_test,20dB,1,27.19556427,0,36.23652093,0,1.235400047,0,0.995832633,0,0.396353547,0,280266,0,9.275657,0,0.012204178,0
MLP_DEPTH_4,MLP-4 hidden layers,20000,internal_test,30dB,1,20.58185196,0,29.29205377,0,0.935771689,0,0.99727687,0,0.198176774,0,280266,0,9.275657,0,0.012204178,0
MLP_DEPTH_4,MLP-4 hidden layers,20000,internal_test,clean,1,19.73575592,0,28.45073524,0,0.897077285,0,0.99743105,0,0.158541419,0,280266,0,9.275657,0,0.012204178,0
MLP_DEPTH_4,MLP-4 hidden layers,30000,internal_test,10dB,1,57.5714035,0,73.89443946,0,2.593487501,0,0.982670251,0,1.228695997,0,280266,0,13.1271624,0,0.011536782,0
MLP_DEPTH_4,MLP-4 hidden layers,30000,internal_test,20dB,1,26.17302322,0,34.85564714,0,1.183195133,0,0.996144195,0,0.356718193,0,280266,0,13.1271624,0,0.011536782,0
MLP_DEPTH_4,MLP-4 hidden layers,30000,internal_test,30dB,1,19.90441704,0,27.82399363,0,0.90422947,0,0.997542986,0,0.198176774,0,280266,0,13.1271624,0,0.011536782,0
MLP_DEPTH_4,MLP-4 hidden layers,30000,internal_test,clean,1,19.04238892,0,26.88757541,0,0.865200814,0,0.997705585,0,0.158541419,0,280266,0,13.1271624,0,0.011536782,0
MLP_DEPTH_4,MLP-4 hidden layers,50000,internal_test,10dB,1,53.54445267,0,69.05819415,0,2.404644899,0,0.984864416,0,0.871977804,0,280266,0,19.1009695,0,0.010912279,0
MLP_DEPTH_4,MLP-4 hidden layers,50000,internal_test,20dB,1,25.25067139,0,34.07785455,0,1.139123831,0,0.996314357,0,0.317082838,0,280266,0,19.1009695,0,0.010912279,0
MLP_DEPTH_4,MLP-4 hidden layers,50000,internal_test,30dB,1,17.87220573,0,25.17308734,0,0.807769224,0,0.997988863,0,0.158541419,0,280266,0,19.1009695,0,0.010912279,0
MLP_DEPTH_4,MLP-4 hidden layers,50000,internal_test,clean,1,16.68028831,0,23.66207125,0,0.753027527,0,0.998223054,0,0.118906064,0,280266,0,19.1009695,0,0.010912279,0
MLP_DEPTH_4,MLP-4 hidden layers,75000,internal_test,10dB,1,53.00174713,0,68.41712025,0,2.377426997,0,0.985144122,0,0.951248514,0,280266,0,27.9488548,0,0.011035791,0
MLP_DEPTH_4,MLP-4 hidden layers,75000,internal_test,20dB,1,25.98200607,0,35.51197978,0,1.159342937,0,0.995997618,0,0.237812128,0,280266,0,27.9488548,0,0.011035791,0
MLP_DEPTH_4,MLP-4 hidden layers,75000,internal_test,30dB,1,16.59386253,0,23.53047315,0,0.745604839,0,0.998242764,0,0.079270709,0,280266,0,27.9488548,0,0.011035791,0
MLP_DEPTH_4,MLP-4 hidden layers,75000,internal_test,clean,1,13.93447781,0,20.17125168,0,0.631051511,0,0.998708678,0,0.237812128,0,280266,0,27.9488548,0,0.011035791,0
MLP_DEPTH_4,MLP-4 hidden layers,100000,internal_test,10dB,1,51.18885422,0,66.01089295,0,2.290611342,0,0.986170708,0,0.951248514,0,280266,0,36.135308,0,0.011205462,0
MLP_DEPTH_4,MLP-4 hidden layers,100000,internal_test,20dB,1,24.85914612,0,33.78768332,0,1.113624033,0,0.996376856,0,0.435988902,0,280266,0,36.135308,0,0.011205462,0
MLP_DEPTH_4,MLP-4 hidden layers,100000,internal_test,30dB,1,15.24001408,0,21.11831035,0,0.686028507,0,0.998584574,0,0.396353547,0,280266,0,36.135308,0,0.011205462,0
MLP_DEPTH_4,MLP-4 hidden layers,100000,internal_test,clean,1,12.01432705,0,16.88678788,0,0.544831529,0,0.99909497,0,0.435988902,0,280266,0,36.135308,0,0.011205462,0
MLP_DEPTH_4,MLP-4 hidden layers,150000,internal_test,10dB,1,50.06558609,0,64.90489211,0,2.234447561,0,0.98663024,0,1.030519223,0,280266,0,53.9174992,0,0.011269798,0
MLP_DEPTH_4,MLP-4 hidden layers,150000,internal_test,20dB,1,24.00462341,0,32.99612866,0,1.072415058,0,0.996544629,0,0.237812128,0,280266,0,53.9174992,0,0.011269798,0
MLP_DEPTH_4,MLP-4 hidden layers,150000,internal_test,30dB,1,14.65502262,0,19.9830296,0,0.654217787,0,0.998732665,0,0.118906064,0,280266,0,53.9174992,0,0.011269798,0
MLP_DEPTH_4,MLP-4 hidden layers,150000,internal_test,clean,1,10.74999237,0,14.35313969,0,0.483266031,0,0.999346173,0,0.118906064,0,280266,0,53.9174992,0,0.011269798,0
MLP_DEPTH_4,MLP-4 hidden layers,200000,internal_test,10dB,1,49.15574265,0,63.89364943,0,2.195448615,0,0.987043606,0,0.990883868,0,280266,0,67.1551094,0,0.011035109,0
MLP_DEPTH_4,MLP-4 hidden layers,200000,internal_test,20dB,1,23.24420547,0,32.23766759,0,1.038299594,0,0.996701656,0,0.435988902,0,280266,0,67.1551094,0,0.011035109,0
MLP_DEPTH_4,MLP-4 hidden layers,200000,internal_test,30dB,1,13.82821274,0,18.98248849,0,0.611749105,0,0.998856398,0,0.356718193,0,280266,0,67.1551094,0,0.011035109,0
MLP_DEPTH_4,MLP-4 hidden layers,200000,internal_test,clean,1,10.02659035,0,13.28743537,0,0.448604487,0,0.999439661,0,0.475624257,0,280266,0,67.1551094,0,0.011035109,0
