architecture,architecture_label,sample_size,dataset,noise,n_runs,mae_mean,mae_std,rmse_mean,rmse_std,mape_percent_mean,mape_percent_std,r2_mean,r2_std,violation_rate_percent_mean,violation_rate_percent_std,parameter_count_mean,parameter_count_std,train_seconds_mean,train_seconds_std,ms_per_sample_mean,ms_per_sample_std
Transformer_SP,Transformer-SP,100000,internal_test,10dB,3,46.93450928,0.90009831,61.26943582,0.832242526,2.083113603,0.039201669,0.988084565,0.000323884,0,0,122187,0,705.8450886,2.945007696,0.070430432,0.001925505
Transformer_SP,Transformer-SP,100000,internal_test,20dB,3,22.41223653,0.171078888,31.01128728,0.323705537,0.992043472,0.006375758,0.996947611,6.37E-05,0,0,122187,0,705.8450886,2.945007696,0.070430432,0.001925505
Transformer_SP,Transformer-SP,100000,internal_test,30dB,3,13.15122477,0.251723651,17.9758252,0.46938125,0.578032093,0.013714316,0.998974008,5.32E-05,0,0,122187,0,705.8450886,2.945007696,0.070430432,0.001925505
Transformer_SP,Transformer-SP,120000,internal_test,clean,3,9.86663119,0.28045846,12.97748534,0.434945939,0.440362794,0.013545585,0.999465097,3.55E-05,0,0,122187,0,842.7396979,2.183919174,0.071994639,0.002752455
Transformer_SP,Transformer-SP,120000,internal_test,10dB,3,46.42804845,0.609313777,60.82901677,0.956824049,2.060295269,0.026268042,0.988254758,0.000368696,0,0,122187,0,842.7396979,2.183919174,0.071994639,0.002752455
Transformer_SP,Transformer-SP,120000,internal_test,20dB,3,22.16814423,0.196130757,30.5774315,0.141015547,0.982088565,0.008746137,0.997032595,2.74E-05,0,0,122187,0,842.7396979,2.183919174,0.071994639,0.002752455
Transformer_SP,Transformer-SP,120000,internal_test,30dB,3,13.09828822,0.187370279,17.95105654,0.32305631,0.573279647,0.006596645,0.998977078,3.68E-05,0,0,122187,0,842.7396979,2.183919174,0.071994639,0.002752455
Transformer_SP,Transformer-SP,150000,internal_test,clean,3,9.469914436,0.245708394,12.49531867,0.343354274,0.420148546,0.01123251,0.999504228,2.70E-05,0,0,122187,0,1053.703585,4.449221698,0.073103657,0.000845467
Transformer_SP,Transformer-SP,150000,internal_test,10dB,3,46.15571594,0.467185855,60.38474525,0.345178683,2.046304134,0.018894556,0.988427354,0.000132095,0,0,122187,0,1053.703585,4.449221698,0.073103657,0.000845467
Transformer_SP,Transformer-SP,150000,internal_test,20dB,3,22.09531593,0.210058999,30.44925945,0.275517975,0.979252656,0.010286958,0.9970573,5.33E-05,0,0,122187,0,1053.703585,4.449221698,0.073103657,0.000845467
Transformer_SP,Transformer-SP,150000,internal_test,30dB,3,12.93925349,0.150379256,17.81373111,0.260122893,0.566759706,0.006723019,0.998992743,2.95E-05,0,0,122187,0,1053.703585,4.449221698,0.073103657,0.000845467
Transformer_SP,Transformer-SP,200000,internal_test,clean,3,9.188694,0.351011299,12.02626776,0.516737349,0.408761948,0.013480127,0.999540416,3.96E-05,0,0,122187,0,1261.636915,6.898823334,0.06905996,0.00233032
Transformer_SP,Transformer-SP,200000,internal_test,10dB,3,45.86086909,0.285317724,60.12966811,0.630346452,2.034486334,0.010734512,0.988524327,0.000241058,0,0,122187,0,1261.636915,6.898823334,0.06905996,0.00233032
